Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,B365H,B365D,B365A,HomePoints,AwayPoints,HomeForm,AwayForm,HomeGolosMarcados_Ultimos6,HomeGolosSofridos_Ultimos6,HomePontos_Ultimos6,HomeRematesBaliza_Ultimos6,AwayGolosMarcados_Ultimos6,AwayGolosSofridos_Ultimos6,AwayPontos_Ultimos6,AwayRematesBaliza_Ultimos6,H2H_Pontos_Casa,HomeDiasDescanso,AwayDiasDescanso,Home_Streak,Away_Streak,Home_Elo,Away_Elo,Jogos_Casa_Realizados,Peso_Jogo
2021-08-23,Pacos Ferreira,Estoril,1,3,A,2,4,2.1,3.1,3.5,0,3,3,4,1.0,1.5,3.0,4.0,1.0,0.0,4.0,3.5,1.0,7,10,-1,0,1498.7080052393337,1513.7080052393337,1,0.04726187706621115
2021-08-23,Boavista,Santa Clara,2,0,H,4,2,2.3,3.0,3.25,3,0,3,1,1.5,1.5,3.0,4.5,1.0,2.5,1.0,4.5,1.0,7,8,1,0,1501.2919947606663,1485.0,1,0.04726187706621115
2021-08-27,Belenenses,Moreirense,1,1,D,1,6,3.5,3.0,2.2,1,1,0,1,0.3333333333333333,2.0,0.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,4.0,1.0,6,7,-3,-1,1457.5649603601544,1470.6471999915343,1,0.04752155705791958
2021-08-27,Estoril,Maritimo,2,1,H,3,2,2.0,3.1,4.0,3,0,7,4,1.6666666666666667,0.3333333333333333,7.0,3.6666666666666665,1.0,1.3333333333333333,4.0,1.6666666666666667,1.0,4,5,1,0,1528.0608052477994,1501.2366112039426,1,0.04752155705791958
2021-08-28,Vizela,Boavista,1,1,D,4,1,2.75,3.25,2.5,1,1,3,6,0.6666666666666666,2.6666666666666665,3.0,3.0,1.6666666666666667,1.0,6.0,4.333333333333333,1.0,6,5,-1,2,1485.644794769132,1515.5891279014727,1,0.04758669968934048
2021-08-28,Porto,Arouca,3,0,H,4,1,1.18,6.5,15.0,3,0,7,3,1.6666666666666667,0.6666666666666666,7.0,5.333333333333333,0.6666666666666666,1.6666666666666667,3.0,3.3333333333333335,1.0,6,8,0,1,1527.471394035391,1486.2919947606663,1,0.04758669968934048
2021-08-28,Famalicao,Sp Lisbon,1,1,D,5,5,6.5,4.5,1.45,1,1,0,9,0.6666666666666666,2.0,0.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,9.0,5.0,1.0,8,7,-3,3,1456.2919947606663,1542.4350396398456,1,0.04758669968934048
2021-08-29,Benfica,Tondela,2,1,H,8,2,1.2,6.5,15.0,3,0,9,3,2.0,0.3333333333333333,9.0,6.0,1.3333333333333333,1.6666666666666667,3.0,3.3333333333333335,1.0,8,7,3,-2,1543.7637848798965,1483.7637848798965,1,0.047651931618391576
2021-08-29,Sp Braga,Guimaraes,0,0,D,6,2,1.7,3.8,4.75,1,1,6,4,2.0,1.3333333333333333,6.0,6.0,1.3333333333333333,0.3333333333333333,4.0,4.333333333333333,1.0,9,7,1,1,1514.3528000084657,1501.9391947522006,1,0.047651931618391576
2021-08-29,Portimonense,Pacos Ferreira,0,1,A,5,2,2.05,3.1,3.8,0,3,6,3,1.3333333333333333,0.3333333333333333,6.0,3.6666666666666665,1.0,2.0,3.0,3.3333333333333335,1.0,7,6,1,-2,1514.9442203594372,1484.355205230868,1,0.047651931618391576
2021-08-29,Santa Clara,Gil Vicente,1,0,H,4,2,2.6,3.0,2.9,3,0,1,6,0.6666666666666666,2.3333333333333335,1.0,3.6666666666666665,1.3333333333333333,0.6666666666666666,6.0,4.0,1.0,6,8,-1,-1,1470.7028668591936,1514.9442203594372,1,0.047651931618391576
2021-09-11,Pacos Ferreira,Sp Braga,0,0,D,3,2,4.33,3.4,1.83,1,1,6,7,1.0,1.5,6.0,3.0,1.5,1.0,7.0,6.0,1.0,13,13,1,0,1500.672437448262,1513.8170895275073,2,0.048508128706392775
2021-09-11,Santa Clara,Benfica,0,5,A,5,5,5.75,4.2,1.53,0,3,4,12,0.75,1.75,4.0,3.75,2.0,0.5,12.0,6.5,1.0,13,13,1,4,1487.6026625227796,1556.1988245197422,2,0.048508128706392775
2021-09-11,Sp Lisbon,Porto,1,1,D,5,1,2.6,3.2,2.7,1,1,10,10,2.0,0.5,10.0,5.0,2.0,0.5,10.0,5.0,1.0,14,14,0,1,1538.790326235387,1540.7018149958822,2,0.048508128706392775
2021-09-12,Moreirense,Famalicao,2,2,D,3,8,2.8,3.1,2.45,1,1,2,1,1.5,2.0,2.0,4.5,0.75,1.75,1.0,3.25,1.0,14,14,0,0,1470.0826610810805,1459.9367081651249,2,0.048574623731911126
2021-09-12,Boavista,Portimonense,1,1,D,3,3,2.4,3.1,2.87,1,1,7,6,1.5,1.0,7.0,3.5,1.0,0.5,6.0,4.0,1.0,14,14,0,-1,1514.2995186755186,1498.6269881420433,2,0.048574623731911126
2021-09-12,Gil Vicente,Vizela,2,2,D,6,6,1.95,3.3,3.6,1,1,6,4,1.0,0.75,6.0,3.5,0.75,2.25,4.0,3.25,1.0,14,14,-2,0,1498.0444246958511,1486.934403995086,2,0.048574623731911126
2021-09-12,Guimaraes,Belenenses,0,0,D,3,6,1.5,4.0,6.0,1,1,5,1,1.0,0.25,5.0,3.75,0.5,1.75,1.0,1.5,1.0,14,14,0,0,1502.474905233159,1458.1294992706082,2,0.048574623731911126
2021-09-13,Maritimo,Arouca,2,2,D,6,3,2.0,3.25,3.75,1,1,4,3,1.0,1.5,4.0,1.75,0.5,2.0,3.0,2.75,1.0,14,14,-1,-1,1487.3924091714332,1473.0615738001752,2,0.04864120990892381
2021-09-13,Tondela,Estoril,1,2,A,5,4,2.87,3.2,2.3,0,3,3,10,1.25,1.75,3.0,3.0,1.75,0.5,10.0,3.5,1.0,14,14,-3,2,1471.328745240051,1541.9050072803088,2,0.04864120990892381
2021-09-17,Portimonense,Santa Clara,2,1,H,4,2,2.2,3.1,3.3,3,0,7,4,1.0,0.6,7.0,3.8,0.6,2.4,4.0,4.0,1.0,5,6,0,-1,1499.3031671007795,1475.526306569019,2,0.04890846863350095
2021-09-18,Arouca,Guimaraes,2,2,D,5,4,3.8,3.4,1.9,1,1,4,6,0.8,2.0,4.0,2.8,0.8,0.2,6.0,3.6,1.0,5,6,0,0,1473.6799350544143,1500.5706894925022,2,0.04897551244567381
2021-09-18,Famalicao,Maritimo,0,0,D,4,0,2.0,3.3,3.6,1,1,2,5,1.0,1.8,2.0,4.2,1.2,1.6,5.0,2.6,1.0,6,5,0,0,1460.3746196902944,1486.7740479171941,2,0.04897551244567381
2021-09-18,Belenenses,Gil Vicente,1,1,D,4,4,3.3,3.2,2.1,1,1,2,7,0.4,1.4,2.0,2.4,1.2,1.0,7.0,4.0,1.0,6,6,0,0,1460.033715011265,1497.5649299682962,2,0.04897551244567381
